"당신의.혈액형은.","좋아하는.음악.장르는.","나의.성격과.가장.비슷한.것을.고르시오","나의.취미를.고르시오"
"B","힙합","털털함","운동"
"O","발라드(R&B )","내성적","영화"
"A","발라드(R&B )","내성적","영화"
"B","발라드(R&B )","세심함","수면"
"B","발라드(R&B )","내성적","운동"
"AB","ROCK","털털함","운동"
"O","발라드(R&B )","내성적","영화"
"O","ROCK","온화함","운동"
"AB","클래식","내성적","영화"
"A","ROCK","털털함","수면"
"A","발라드(R&B )","온화함","운동"
"B","EDM","털털함","수면"
"B","클래식","털털함","독서"
"AB","발라드(R&B )","온화함","수면"
"B","힙합","냉철함","독서"
"B","발라드(R&B )","세심함","영화"
"B","발라드(R&B )","세심함","운동"
"O","ROCK","온화함","운동"
"O","ROCK","온화함","독서"
"B","힙합","세심함","운동"
"B","ROCK","냉철함","영화"
"B","EDM","내성적","수면"
