"행정구역(시군구)별",2017. 09,2017. 09,2017. 09,2017. 09,2017. 09,2017. 09,2017. 09,2017. 09,2017. 10,2017. 10,2017. 10,2017. 10,2017. 10,2017. 10,2017. 10,2017. 10,2017. 11,2017. 11,2017. 11,2017. 11,2017. 11,2017. 11,2017. 11,2017. 11
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"전국",590892,590892,0,236992,167833,167833,186067,186067,528635,528635,0,212708,152209,152209,163718,163718,597466,597466,0,237646,172439,172439,187381,187381
"서울특별시",120252,133583,-13331,39381,47045,47045,33826,47157,109323,120064,-10741,37469,42714,42714,29140,39881,114057,128744,-14687,37895,44228,44228,31934,46621
"부산광역시",34958,36416,-1458,11187,14126,14126,9645,11103,29670,34419,-4749,10072,12967,12967,6631,11380,33845,37390,-3545,11482,14320,14320,8043,11588
"대구광역시",26579,28440,-1861,9482,11160,11160,5937,7798,27594,28787,-1193,10468,11611,11611,5515,6708,32466,33341,-875,11949,13832,13832,6685,7560
"인천광역시",33943,35324,-1381,13079,9840,9840,11024,12405,31642,31514,128,12189,9272,9272,10181,10053,35420,35701,-281,13513,10726,10726,11181,11462
"광주광역시",16586,16753,-167,6446,5450,5450,4690,4857,14974,15138,-164,5885,4757,4757,4332,4496,17362,17986,-624,6577,5781,5781,5004,5628
"대전광역시",16413,17155,-742,5480,5381,5381,5552,6294,14866,16105,-1239,4962,4762,4762,5142,6381,16522,18273,-1751,5493,5535,5535,5494,7245
"울산광역시",11440,12397,-957,4246,4300,4300,2894,3851,11057,11318,-261,4377,3789,3789,2891,3152,11724,12307,-583,4435,4233,4233,3056,3639
"세종특별자치시",5518,3450,2068,1543,0,0,3975,1907,5820,3365,2455,1766,0,0,4054,1599,6252,3651,2601,1794,0,0,4458,1857
"경기도",172577,158654,13923,73159,45871,45871,53547,39624,147785,137313,10472,62129,40052,40052,45604,35132,164794,151095,13699,66813,45041,45041,52940,39241
"강원도",15381,14980,401,7009,2420,2420,5952,5551,14119,13632,487,6473,2349,2349,5297,4810,19835,18306,1529,9208,3510,3510,7117,5588
"충청북도",15261,15102,159,7773,1750,1750,5738,5579,13354,13116,238,6747,1524,1524,5083,4845,15944,15352,592,7810,1838,1838,6296,5704
"충청남도",23068,21619,1449,10623,3139,3139,9306,7857,19693,18413,1280,8587,2753,2753,8353,7073,23385,22073,1312,10675,3316,3316,9394,8082
"전라북도",16893,17334,-441,8861,3649,3649,4383,4824,14990,15565,-575,7636,3327,3327,4027,4602,18866,19331,-465,9649,4487,4487,4730,5195
"전라남도",16496,16892,-396,6663,3529,3529,6304,6700,15183,15405,-222,6318,3167,3167,5698,5920,18721,18570,151,7450,4246,4246,7025,6874
"경상북도",27433,26465,968,13645,4260,4260,9528,8560,23102,22517,585,10931,3827,3827,8344,7759,26795,26371,424,12198,4805,4805,9792,9368
"경상남도",30366,29827,539,14736,5191,5191,10439,9900,28356,26171,2185,13382,4658,4658,10316,8131,32808,31429,1379,16232,5678,5678,10898,9519
"제주특별자치도",7728,6501,1227,3679,722,722,3327,2100,7107,5793,1314,3317,680,680,3110,1796,8670,7546,1124,4473,863,863,3334,2210
